"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),가해 경험률,사이버 언어폭력,사이버 명예훼손,사이버 스토킹,사이버 성폭력,신상정보 유출,사이버 따돌림,사이버 갈취,사이버 강요
"전체",소계,20.6,19.2,5.3,2.0,1.8,2.5,2.3,1.6,1.6
"성별",남학생,26.6,24.9,7.0,3.0,2.6,3.4,3.2,2.5,2.2
"성별",여학생,14.1,13.1,3.6,1.0,0.9,1.5,1.4,0.6,0.9
"학령별",초등학교,22.1,19.9,5.7,1.9,1.5,1.8,2.7,1.1,1.6
"학령별",중학교,24.8,23.6,6.9,2.8,2.3,3.8,2.6,2.3,1.9
"학령별",고등학교,14.5,13.9,3.3,1.5,1.5,1.8,1.7,1.4,1.2
"학교특성별",남학교,24.6,23.3,7.2,2.7,2.6,3.7,2.6,2.6,2.0
"학교특성별",여학교,11.4,10.5,2.8,0.9,0.7,0.9,0.7,0.4,0.6
"학교특성별",남녀공학,20.2,19.3,5.1,2.2,1.9,2.9,2.3,1.9,1.6
"거주지역별",대도시,18.4,17.3,4.9,2.0,1.4,2.1,1.8,1.4,1.2
"거주지역별",중소도시,22.1,20.5,5.9,2.2,2.2,2.8,2.8,1.8,1.9
"거주지역별",읍면지역,21.1,20.0,4.3,1.6,1.2,2.4,2.2,1.3,1.5
"권역별",수도권,20.5,19.3,4.9,2.0,1.7,2.4,1.9,1.4,1.3
"권역별",충청권,21.7,20.4,6.2,3.3,2.9,3.3,3.8,2.5,2.8
"권역별",호남권,21.0,19.8,5.0,2.1,2.1,2.7,2.7,2.2,2.1
"권역별",동북권,19.5,17.7,5.7,1.7,1.7,2.1,2.0,1.6,1.4
"권역별",동남권,20.5,18.8,5.9,1.6,1.1,2.2,2.4,1.3,1.5
"인터넷 이용 시간별",1시간 미만,9.7,7.4,3.0,2.3,1.8,1.4,2.2,1.8,1.8
"인터넷 이용 시간별",1~2시간 미만,15.1,13.7,3.6,1.6,1.2,2.1,1.6,1.0,1.3
"인터넷 이용 시간별",2~3시간 미만,18.2,16.6,4.2,1.7,1.8,1.7,2.3,1.3,1.2
"인터넷 이용 시간별",3~5시간 미만,24.1,22.9,7.0,2.2,2.0,2.9,2.5,1.9,1.8
"인터넷 이용 시간별",5시간 이상,25.9,24.8,6.4,2.5,2.0,3.3,2.7,1.9,1.9
"가정형편별",상위,19.7,18.0,6.9,3.6,3.3,3.7,3.7,3.2,2.8
"가정형편별",중위,20.7,19.4,5.0,1.7,1.4,2.2,2.1,1.3,1.3
"가정형편별",하위,19.8,17.2,7.8,5.5,6.0,6.3,4.5,4.7,4.6
"학업성적별",상위권,19.7,18.1,5.9,2.6,2.2,3.1,2.8,1.9,2.0
"학업성적별",중위권,20.7,19.5,5.1,1.7,1.5,2.1,2.1,1.4,1.4
"학업성적별",하위권,21.4,19.2,6.1,3.7,3.5,3.9,3.2,2.7,2.7
"사이버폭력 예방교육별",경험 있음,20.8,19.6,5.2,1.7,1.5,2.2,2.1,1.3,1.3
"사이버폭력 예방교육별",경험 없음,18.8,16.0,6.5,4.4,4.1,4.7,4.1,4.3,3.8
