"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,54.3,19.7,20.0,5.9
"성별",남학생,49.1,19.9,23.0,8.1
"성별",여학생,65.0,19.4,14.1,1.5
"학령별",초등학교,64.1,17.2,14.4,4.2
"학령별",중학교,48.2,21.4,24.6,5.8
"학령별",고등학교,50.8,20.4,20.3,8.5
"학교특성별",남학교,39.4,18.0,30.6,12.0
"학교특성별",여학교,69.1,20.2,8.6,2.1
"학교특성별",남녀공학,50.0,22.1,22.3,5.7
"거주지역별",대도시,53.8,20.4,19.7,6.1
"거주지역별",중소도시,55.1,18.9,20.5,5.4
"거주지역별",읍면지역,53.0,21.0,19.0,7.1
"권역별",수도권,55.0,21.9,18.9,4.3
"권역별",충청권,53.1,16.6,19.7,10.7
"권역별",호남권,58.1,15.9,18.9,7.0
"권역별",동북권,48.6,19.1,23.0,9.3
"권역별",동남권,54.9,18.4,22.6,4.0
"인터넷 이용 시간별",1시간 미만,69.5,14.5,10.2,5.8
"인터넷 이용 시간별",1~2시간 미만,69.5,15.2,12.9,2.5
"인터넷 이용 시간별",2~3시간 미만,61.5,16.1,18.0,4.3
"인터넷 이용 시간별",3~5시간 미만,53.7,21.7,19.5,5.1
"인터넷 이용 시간별",5시간 이상,42.9,22.3,25.6,9.2
"가정형편별",상위,58.8,18.5,15.6,7.0
"가정형편별",중위,54.1,20.0,20.4,5.4
"가정형편별",하위,42.4,13.7,25.9,17.9
"학업성적별",상위권,54.8,18.1,19.4,7.7
"학업성적별",중위권,54.8,20.7,19.7,4.8
"학업성적별",하위권,49.2,14.4,24.6,11.8
"사이버폭력 예방교육별",경험 있음,55.6,19.1,20.0,5.4
"사이버폭력 예방교육별",경험 없음,42.8,25.9,20.3,11.1
