"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,53.2,22.5,17.4,6.9
"성별",남학생,47.6,25.0,19.6,7.8
"성별",여학생,61.9,18.5,14.0,5.6
"학령별",초등학교,60.1,18.7,12.6,8.7
"학령별",중학교,55.3,20.5,19.6,4.6
"학령별",고등학교,41.6,29.9,20.9,7.6
"학교특성별",남학교,58.3,23.2,15.6,2.9
"학교특성별",여학교,61.3,15.8,7.0,15.8
"학교특성별",남녀공학,45.5,25.9,22.7,5.8
"거주지역별",대도시,45.5,25.9,17.9,10.7
"거주지역별",중소도시,56.9,19.2,18.6,5.3
"거주지역별",읍면지역,57.4,30.9,7.9,3.8
"권역별",수도권,50.7,24.4,18.4,6.4
"권역별",충청권,61.4,12.1,20.3,6.1
"권역별",호남권,46.4,24.2,16.3,13.0
"권역별",동북권,49.1,26.5,17.2,7.2
"권역별",동남권,61.0,21.2,12.0,5.8
"인터넷 이용 시간별",1시간 미만,65.1,24.6,3.1,7.3
"인터넷 이용 시간별",1~2시간 미만,52.8,25.3,7.6,14.4
"인터넷 이용 시간별",2~3시간 미만,64.3,11.1,22.2,2.3
"인터넷 이용 시간별",3~5시간 미만,47.7,24.1,21.3,7.0
"인터넷 이용 시간별",5시간 이상,46.7,28.9,17.2,7.2
"가정형편별",상위,41.2,28.0,23.2,7.5
"가정형편별",중위,56.0,21.0,16.8,6.2
"가정형편별",하위,41.2,31.9,9.9,16.9
"학업성적별",상위권,40.2,29.8,14.1,15.9
"학업성적별",중위권,58.9,20.1,17.9,3.2
"학업성적별",하위권,42.6,23.9,20.3,13.2
"사이버폭력 예방교육별",경험 있음,55.2,22.6,14.8,7.4
"사이버폭력 예방교육별",경험 없음,41.7,21.9,32.1,4.3
