"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,61.4,20.6,14.2,3.9
"성별",남학생,56.0,23.7,16.2,4.1
"성별",여학생,70.0,15.5,10.9,3.6
"학령별",초등학교,69.1,14.6,13.0,3.3
"학령별",중학교,63.9,19.7,14.9,1.5
"학령별",고등학교,37.3,37.3,15.7,9.7
"학교특성별",남학교,62.6,22.0,14.9,0.6
"학교특성별",여학교,79.6,6.8,0.0,13.6
"학교특성별",남녀공학,49.1,29.3,17.0,4.6
"거주지역별",대도시,60.6,19.2,16.0,4.3
"거주지역별",중소도시,60.5,22.3,13.7,3.5
"거주지역별",읍면지역,70.4,15.3,9.7,4.7
"권역별",수도권,58.2,22.6,15.4,3.8
"권역별",충청권,65.1,15.6,14.3,4.9
"권역별",호남권,63.0,21.4,12.0,3.6
"권역별",동북권,52.8,23.3,18.6,5.3
"권역별",동남권,72.1,16.5,8.9,2.5
"인터넷 이용 시간별",1시간 미만,63.5,12.3,19.4,4.8
"인터넷 이용 시간별",1~2시간 미만,59.5,21.6,13.3,5.6
"인터넷 이용 시간별",2~3시간 미만,65.0,14.5,17.7,2.7
"인터넷 이용 시간별",3~5시간 미만,66.0,20.2,10.7,3.2
"인터넷 이용 시간별",5시간 이상,54.1,27.6,14.0,4.4
"가정형편별",상위,60.2,16.8,14.4,8.6
"가정형편별",중위,61.9,21.1,14.4,2.6
"가정형편별",하위,54.5,22.1,8.2,15.2
"학업성적별",상위권,60.1,20.9,10.4,8.6
"학업성적별",중위권,63.8,17.7,16.4,2.0
"학업성적별",하위권,47.5,39.5,8.0,5.1
"사이버폭력 예방교육별",경험 있음,63.9,19.9,12.9,3.3
"사이버폭력 예방교육별",경험 없음,42.9,25.5,23.3,8.3
