"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,58.9,22.4,14.5,4.2
"성별",남학생,53.9,25.7,16.1,4.2
"성별",여학생,65.6,18.0,12.2,4.2
"학령별",초등학교,64.2,21.5,10.0,4.2
"학령별",중학교,52.2,25.7,17.5,4.7
"학령별",고등학교,63.1,18.2,15.3,3.4
"학교특성별",남학교,55.7,19.5,20.1,4.6
"학교특성별",여학교,66.2,17.6,11.6,4.6
"학교특성별",남녀공학,55.1,24.4,16.4,4.1
"거주지역별",대도시,56.7,23.7,15.6,4.0
"거주지역별",중소도시,59.2,23.2,13.3,4.4
"거주지역별",읍면지역,65.1,14.4,16.0,4.5
"권역별",수도권,59.4,23.1,13.6,3.9
"권역별",충청권,57.5,21.7,15.9,5.0
"권역별",호남권,56.3,21.9,16.4,5.5
"권역별",동북권,54.3,21.6,18.9,5.2
"권역별",동남권,63.0,21.7,11.8,3.5
"인터넷 이용 시간별",1시간 미만,64.8,27.0,5.7,2.5
"인터넷 이용 시간별",1~2시간 미만,63.5,21.0,9.9,5.6
"인터넷 이용 시간별",2~3시간 미만,60.1,21.7,15.4,2.8
"인터넷 이용 시간별",3~5시간 미만,57.5,21.0,16.2,5.3
"인터넷 이용 시간별",5시간 이상,56.4,24.5,15.3,3.9
"가정형편별",상위,60.5,23.2,12.6,3.7
"가정형편별",중위,58.6,22.4,14.9,4.1
"가정형편별",하위,58.9,19.8,10.4,11.0
"학업성적별",상위권,56.1,25.3,12.6,6.1
"학업성적별",중위권,59.9,21.7,14.9,3.5
"학업성적별",하위권,57.0,20.8,16.0,6.2
"사이버폭력 예방교육별",경험 있음,59.3,22.5,14.2,4.0
"사이버폭력 예방교육별",경험 없음,55.1,21.9,16.9,6.1
