"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),피해 경험률,사이버 언어폭력,사이버 명예훼손,사이버 스토킹,사이버 성폭력,신상정보 유출,사이버 따돌림,사이버 갈취,사이버 강요
"전체",소계,37.5,33.3,16.1,7.7,6.1,5.9,5.0,4.4,4.0
"성별",남학생,42.1,38.0,17.9,7.5,7.2,7.0,6.0,6.4,4.7
"성별",여학생,32.5,28.4,14.1,8.0,5.0,4.7,4.0,2.3,3.2
"학령별",초등학교,39.3,34.3,15.8,5.9,5.2,4.3,7.1,5.3,4.3
"학령별",중학교,41.3,37.7,19.9,10.1,7.8,8.7,5.0,4.6,4.2
"학령별",고등학교,31.5,27.8,12.4,7.1,5.3,4.6,2.9,3.2,3.4
"학교특성별",남학교,39.8,35.8,16.8,7.6,7.8,7.6,4.7,5.3,4.5
"학교특성별",여학교,28.2,24.3,11.7,9.1,5.2,3.9,2.3,1.7,2.0
"학교특성별",남녀공학,37.3,33.8,17.0,8.8,6.5,7.0,4.1,4.0,4.0
"거주지역별",대도시,35.6,31.7,15.6,7.4,5.6,5.6,4.5,4.0,3.3
"거주지역별",중소도시,39.6,35.2,17.0,8.4,6.7,6.6,5.8,5.0,4.7
"거주지역별",읍면지역,34.8,31.5,14.2,6.0,5.2,3.9,3.6,3.1,2.9
"권역별",수도권,38.0,33.9,17.0,7.8,6.0,6.1,4.7,4.3,4.0
"권역별",충청권,37.5,33.8,15.5,8.9,6.9,5.7,6.1,5.1,4.7
"권역별",호남권,35.2,30.7,14.4,7.4,5.7,5.7,5.1,4.7,3.1
"권역별",동북권,35.8,32.2,15.3,6.4,6.5,5.7,5.0,4.3,4.2
"권역별",동남권,38.5,33.9,15.3,7.8,5.8,5.5,5.2,4.1,3.6
"인터넷 이용 시간별",1시간 미만,20.4,16.9,8.1,3.5,4.6,4.5,4.7,3.9,3.1
"인터넷 이용 시간별",1~2시간 미만,33.0,27.7,13.4,5.1,4.2,4.5,4.9,3.6,3.2
"인터넷 이용 시간별",2~3시간 미만,36.0,31.9,15.3,7.0,5.5,5.0,4.7,4.2,4.0
"인터넷 이용 시간별",3~5시간 미만,40.7,37.0,16.8,8.5,6.2,6.0,5.1,4.6,3.7
"인터넷 이용 시간별",5시간 이상,43.3,39.3,20.2,10.5,8.4,8.0,5.5,5.0,5.0
"가정형편별",상위,36.1,30.8,18.6,9.3,7.9,7.0,5.6,6.0,4.9
"가정형편별",중위,37.7,33.7,15.9,7.4,5.8,5.7,4.9,4.1,3.7
"가정형편별",하위,36.7,31.6,13.8,10.2,9.2,6.8,7.6,5.8,6.9
"학업성적별",상위권,37.1,32.5,17.8,7.8,6.5,6.3,6.1,4.4,4.1
"학업성적별",중위권,37.7,33.7,15.7,7.4,5.9,5.6,4.6,4.3,3.7
"학업성적별",하위권,36.2,32.0,15.8,10.1,7.1,6.9,6.4,5.5,6.0
"사이버폭력 예방교육별",경험 있음,38.0,33.9,16.2,7.6,5.9,5.8,5.0,4.2,3.8
"사이버폭력 예방교육별",경험 없음,33.4,29.4,15.2,9.0,7.9,6.4,5.4,5.5,5.2
